Name,Handle
Andy Ngo,mrandyngo
Benny Johnson,bennyjohnson
Brandon Tatum,theofficertatum
CJ Pearson,thecjpearson
Corey Lewandowski,clewandowski_
Dan Scavino,DanScavino
Defiant L's,DefiantLs
Dinesh D'Souza,DineshDSouza
Donald Trump Jr,DonaldJTrumpJr
Greg Abbott,GregAbbott_TX
Greg Kelly,gregkellyusa
Harlan Hill,harlan
Jack Posobiec,JackPosobiec
Jason Miller,JasonMillerinDC
Jeanine Pirro,judgejeanine
Jenna Ellis (newsmax),JennaEllisEsq
Joe Kent,joekent16jan19
Joe Rogan,joerogan
Julie Kelly,julie_kelly2
Kayleigh McEnany,kayleighmcenany
Kyle Rittenhouse,thisiskyler
Lara Trump,LaraLeaTrump
Lauren Boebert,laurenboebert
Liz Harrington,reallizusa
Mark Levin,marklevinshow
Matt Gaetz,mattgaetz
Matt Schlapp,mschlapp
Mollie Hemingway,MZHemingway
Nikki Haley,NikkiHaley
Paul Gosar,repgosar
Peter Navarro,RealPNavarro
Rep Jim Jordan,Jim_Jordan
Rep Marjorie Taylor Greene,RepMTG
Richard Grenell,richardgrenell
Rick Wilson,TheRickWilson
Ron DeSantis,GovRonDeSantis
Ronna McDaniel,GOPChairwoman
RSBN,RSBNetwork
Saagar Enjeti,esaagar
Scott Adams (Dilbert),ScottAdamsSays
Sean Hannity,seanhannity
Sebastian Gorka,SebGorka
Seth Dillon,sethdillon
Steve Scalise,SteveScalise
Ted Cruz,tedcruz
The Babylon Bee,thebabylonbee
The Lincoln Project,ProjectLincoln
The Right to Bear Memes,grandoldmemes
Turning Point USA,tpusa
Wendy Rogers,WendyRogersAZ
